Show Name
A celebration of the work of Michael Folkard as a scenic designer
wave to earth - 0.03 tour
Subscribe
Rough Magic
Romeo and Juliet
The Crucible
The Merry Wives of Windsor
Twelfth Night or What You Will
Troilus and Cressida
A Midsummer Night's Dream: For One Night Only
Globe Theatre Guided Tour
Pride Guided Tour
Shakespeare's Walking Tour
Ghosts & Ghouls Family Tour
Shakespeare's True Crimes Walking Tour
Heaven to Hell Tour
Macbeth: 9 – 11 years Family Workshop
Ghosts & Ghouls Family Tour
Family Sword Fighting Demonstration
Research in Action: Twelfth Night Rediscovered
Othello: Study Day
Twelfth Night: Study Day
Romeo and Juliet: Study Day
Research in Action: 30 Years of Research
Research in Action: Global Early Modern Stage
Young Actors Short Course (11-13 years)
Young Actors Short Course (8–10 years)
Macbeth: On Stage Workshop (12-14 years)
Romeo and Juliet
Romeo and Juliet Guided Tour
Globe Theatre Guided Tour
CPD: Teaching Anti-Racist Shakespeare
Online CPD: Teaching Shakespeare and Sexuality
CPD: Teaching Shakespeare and Women
Continuing Professional Development: Teaching Romeo and Juliet at KS4
CPD: Teaching Othello at Key Stage 5 | Shakespeare's Globe
Continuing Professional Development: Teaching Macbeth at Key Stage 4
New Visions
Corinne Bailey Rae presents Black Rainbows
Poetry Writing Drop-In
Holden, NIA & Faker Villain
Navigating the Music Industry as an Independent Artist with Cristale, Finn Foxell, and Jords
Summrs & Autumn -Aux: Volume 8
Che - Aux: Volume 8
Razorlight
Alice Phoebe Lou
Only Fools and Horses The Musical
Murder She Didn't Write
Opera North: Simon Boccanegra
Ghost Stories
Anastacia - Not That Kind Tour
The Hallé
Harry Hill: New Bits & Greatest Hits
Lost in Music
An Evening of Burlesque Cabaret
War Horse
Sir Tim Rice: My Life in Musicals - I Know Him so Well
Paul Chowdhry
Limelight Backstage Tour
War Horse Puppet Workshop
Derren Brown - Only Human Live
Henning Wehn: Acid Wehn
Jasmin Vardimon Company - ALiCE
A Squash & A Squeeze
Live at Lunch: Kylia Tsz Yam Pai
Les Misérables - Let the People Sing
Sophie Ellis-Bextor
The Sensational 60s Experience
The Hallé
The Book of Mormon
Aljaž & Janette
Dara O'Briain: Re:Creation
Gary Barlow - The Songbook Tour
Limelight Backstage Tour
Bonnie Raitt
Hamlet: The Rest is Silence (Community Production)
Anansi & The Lost Sun (LITTLE VENICE)
The Hare & The Tortoise (LITTLE VENICE)
The Town Mouse & The Country Mouse (LITTLE VENICE)
Testaments (LITTLE VENICE)
Alkanna Graeca (LITTLE VENICE)
Nina Harries (LITTLE VENICE)
Subscribe
Support us!
NO SIGNAL: Purgatory’s Hottest Drag Ball
Battersea Museum of Horrors
Transmundane:Short Film Showcase
A Little Inquest Into What We Are All Doing Here
DEAD DAD DEATH CULT
Catherine (Work In Progress)
50 Ways to Kill a Slug
Ways of Knowing
Goner
Alpha Go_Lee: Theory of Sacrifice
Koulounisation
Natural Behaviour
The Duncairn
Subscribe
On now & coming up
Be a Hoxton Hero!
Join our community
Newcastle Puppetry Festival
Kim's Convenience
Touch Tour
Joy
Kiell Smith-Bynoe & Friends: Kool Story Bro
Teach Rex Live
Handbagged
Jerusalem
Northern Stage Pub Quiz
Across the Universe
The Very Hungry Caterpillar Show
My-dentity
Kinky Boots The Musical
Close Enough
Take Flight 08-13yrs
Take Flight 14-18yrs
National Theatre Connections Festival
Tiny Tales Summer 2025
Nikita Kuzmin - Midnight Dancer
Andy Ford's Flippin' World Tour of the West Country
That'll Be The Day
Chitty Chitty Bang Bang
In Search of Goldoni
FUSE Gathering x Beyond Face
Bat Out Of Hell
Machinal
Closeted | EXPERIMENT Work In Progress
Only Fools and Horses: The Musical
Choir of Man
Explorers Garden
Youth Dance (5-10 year olds)
Youth Dance (11-16 year olds)
The Sound of Music - von Trapp Family Young Company Auditions
Water Colour
Explorers Garden - Guided Tour
Nan Shepherd: Naked and Unashamed
Thank You For the Music
Lost in Music
What's next for libraries, literature and creativity?
The Pasadena Roof Orchestra
Queer, There and Everywhere
Bat Out of Hell: The Musical
Bat Out of Hell: The Musical
Bat Out of Hell: The Musical
Bat Out of Hell: The Musical
Bat Out of Hell: The Musical
Bat Out of Hell: The Musical
Bat Out of Hell: The Musical
Bat Out of Hell: The Musical
Bat Out of Hell: The Musical
Bat Out of Hell: The Musical
Bat Out of Hell: The Musical
Bat Out of Hell: The Musical
Bat Out of Hell: The Musical
Bat Out of Hell: The Musical
Bat Out of Hell: The Musical
Bat Out of Hell: The Musical
Bat Out of Hell: The Musical
Bat Out of Hell: The Musical
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six Characters in Search of an Author
Six
Six
Six
Six
Six
Six
Six
Six
Six
Six
Six
Six
Six
Six
Six
Six
Six
Six
Six
Six
Six
Six
Six
Six
Six
Six
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Half a Sixpence
Blackpool Operatic Players performing 42nd-street?utm_source=google.com&utm_medium=organic 
Geoids Musical Theatre performing 42nd-street?utm_source=google.com&utm_medium=organic 
Lamproom Musical Theatre Company performing 42nd-street?utm_source=google.com&utm_medium=organic 
RMTC performing 42nd-street?utm_source=google.com&utm_medium=organic 
South Manchester AOS performing 42nd-street?utm_source=google.com&utm_medium=organic 
Blackpool Operatic Players performing 42nd-street?utm_source=google.com&utm_medium=organic 
Lamproom Musical Theatre Company performing 42nd-street?utm_source=google.com&utm_medium=organic 
RMTC performing 42nd-street?utm_source=google.com&utm_medium=organic 
South Manchester AOS performing 42nd-street?utm_source=google.com&utm_medium=organic 
Dawlish Repertory Company performing the-house-by-the-lake 
Dawlish Repertory Company performing the-house-by-the-lake 
Lymington Players performing boeing-boeing 
Lymington Players performing boeing-boeing 
Ad Hoc Productions performing and-then-there-were-none
ADC Theatre* performing and-then-there-were-none
Bethany School performing and-then-there-were-none
Broughton Amateur Dramatic Society performing and-then-there-were-none
Camus Productions performing and-then-there-were-none
Keighley Playhouse performing and-then-there-were-none
Ad Hoc Productions performing and-then-there-were-none
ADC Theatre* performing and-then-there-were-none
Bethany School performing and-then-there-were-none
Broughton Amateur Dramatic Society performing and-then-there-were-none
Camus Productions performing and-then-there-were-none
Keighley Playhouse performing and-then-there-were-none
Bloomsbury House performing a-few-good-men?utm_source=google.com&utm_medium=organic 
Coalville Adult School Drama Group performing a-few-good-men?utm_source=google.com&utm_medium=organic 
