Show Name,Theatre Name,Start Date,End Date,Link
"Bat Out of Hell: The Musical","CHELTENHAMEveryman Theatre","5 APR 2025","","https://www.everymantheatre.org.uk/shows/bat-out-of-hell/"
"Bat Out of Hell: The Musical","GLASGOWKing's Theatre","19 APR 2025","","https://www.atgtickets.com/shows/bat-out-of-hell/kings-theatre-glasgow/"
"Bat Out of Hell: The Musical","LEEDSGrand Theatre","26 APR 2025","","https://leedsheritagetheatres.com/whats-on/bat-out-of-hell-2025/"
"Bat Out of Hell: The Musical","SHEFFIELDLyceum Theatre","3 MAY 2025","","https://www.sheffieldtheatres.co.uk/events/bat-out-of-hell-2024"
"Bat Out of Hell: The Musical","WOKINGNew Victoria Theatre","10 MAY 2025","","https://www.atgtickets.com/shows/bat-out-of-hell/new-victoria-theatre/"
"Bat Out of Hell: The Musical","PLYMOUTHTheatre Royal","17 MAY 2025","","https://theatreroyal.com/whats-on/bat-out-of-hell/#book"
"Bat Out of Hell: The Musical","LONDONPeacock Theatre","7 JUN 2025","","https://www.sadlerswells.com/whats-on/bat-out-of-hell-the-musical/"
"Bat Out of Hell: The Musical","LeicesterCurve Theatre","14 JUN 2025","","https://www.curveonline.co.uk/whats-on/shows/bat-out-of-hell/"
"Bat Out of Hell: The Musical","Milton KeynesMilton Keynes Theatre","28 JUN 2025","","https://www.atgtickets.com/shows/bat-out-of-hell/milton-keynes-theatre/"
"Bat Out of Hell: The Musical","Stoke-on-TrentRegent Theatre","5 JUL 2025","","https://www.atgtickets.com/shows/bat-out-of-hell/regent-theatre/"
"Bat Out of Hell: The Musical","WolverhamptonWolverhampton Grand Theatre","19 JUL 2025","","https://www.grandtheatre.co.uk/whats-on/bat-out-of-hell/"
"Bat Out of Hell: The Musical","HIGH WYCOMBEWycombe Swan Theatre","26 JUL 2025","","https://trafalgartickets.com/wycombe-swan-theatre/en-GB/event/musical/bat-out-of-hell-tickets"
"Bat Out of Hell: The Musical","CANTERBURYMarlowe Theatre","2 AUG 2025","","https://marlowetheatre.com/shows/bat-out-of-hell-2/"
"Bat Out of Hell: The Musical","SOUTHENDCliffs Pavilion Theatre","9 AUG 2025","","https://trafalgartickets.com/cliffs-pavilion-southend/en-GB/event/musical/bat-out-of-hell-tickets"
"Bat Out of Hell: The Musical","SUNDERLANDEmpire Theatre","23 AUG 2025","","https://www.atgtickets.com/shows/bat-out-of-hell/sunderland-empire"
"Bat Out of Hell: The Musical","EastbourneCongress Theatre","30 AUG 2025","","https://www.eastbournetheatres.co.uk/events/batoutofhell2025"
"Bat Out of Hell: The Musical","BRISTOLHippodrome Theatre","13 SEP 2025","","https://www.atgtickets.com/shows/bat-out-of-hell/bristol-hippodrome"
"Bat Out of Hell: The Musical","NORTHAMPTONRoyal & Derngate","20 SEP 2025","","https://www.royalandderngate.co.uk/whats-on/bat-out-of-hell/"
"Six Characters in Search of an Author","Aylesbury Waterside Theatre","20 May 2025","24 May 2025","https://www.atgtickets.com/shows/six/aylesbury-waterside-theatre/?gad_source=1&gclid=Cj0KCQjw9Km3BhDjARIsAGUb4nzjiLUOKdW4mlB_ifW9KLiVDEH2kXOvprZJ-3szzFU56hkyrGW4USQaAnyhEALw_wcB&gclsrc=aw.ds"
"Six Characters in Search of an Author","Curve Theatre - Leicester","27 May 2025","31 May 2025","https://www.curveonline.co.uk/whats-on/shows/six-3/"
"Six Characters in Search of an Author","Hull New Theatre","3 Jun 2025","7 Jun 2025","https://www.hulltheatres.co.uk/theatre-events/SIX%20The%20Musical"
"Six Characters in Search of an Author","Grand Opera House, Belfast","10 Jun 2025","14 Jun 2025","https://www.goh.co.uk/whats-on/six-the-musical"
"Six Characters in Search of an Author","Bord Gáis Energy Theatre","17 Jun 2025","28 June 2025","https://www.bordgaisenergytheatre.ie/show/six/"
"Six Characters in Search of an Author","Rhyl Pavilion Theatre","1 July 2025","5 July 2025","https://rhylpavilion.co.uk/events_list/six/"
"Six Characters in Search of an Author","Leeds Grand Theatre","8 Jul 2025","12 Jul 2025","https://leedsheritagetheatres.com/whats-on/six-2025/"
"Six Characters in Search of an Author","Belgrade Theatre, Coventry","15 Jul 2025","19 Jul 2025","https://www.belgrade.co.uk/events/six-7/"
"Six Characters in Search of an Author","Skegness - Embassy Theatre","22 Jul 2025","26 Jul 2025","https://embassytheatre.co.uk/shows/six/"
"Six Characters in Search of an Author","Salford - The Lowry","29 Jul 2025","3 Aug 2025","https://thelowry.com/whats-on/299//six"
"Six Characters in Search of an Author","His Majesty's Theatre Aberdeen","5 Aug 2025","9 Aug 2025","https://www.aberdeenperformingarts.com/whats-on/six-2/"
"Six Characters in Search of an Author","Newcastle Theatre Royal","12 Aug 2025","23 Aug 2025","https://www.theatreroyal.co.uk/whats-on/six-6/"
"Six Characters in Search of an Author","Yvonne Arnaud Theatre - Guildford","26 Aug 2025","6 Sep 2025","https://www.yvonne-arnaud.co.uk/whats-on/six"
"Six Characters in Search of an Author","Theatre Royal Brighton","9 Sep 2025","20 Sep 2025","https://www.atgtickets.com/shows/six/theatre-royal-brighton/"
"Six Characters in Search of an Author","Theatre Clwyd - Mold","23 Sep 2025","27 Sep 2025","http://theatrclwyd.com/event/six-the-musical"
"Six Characters in Search of an Author","Hall for Cornwall - Truro","30 Sep 2025","4 Oct 2025","https://www.hallforcornwall.co.uk/whats-on/six-the-musical/"
"Six Characters in Search of an Author","Princess Theatre - Torquay","7 Oct 2025","11 Oct 2025","https://www.atgtickets.com/shows/six/princess-theatre-torquay/"
"Six Characters in Search of an Author","Grand Opera House York","14 Oct 2025","18 Oct 2025","https://www.atgtickets.com/shows/six/grand-opera-house-york/"
"Six Characters in Search of an Author","Edinburgh Playhouse","21 Oct 2025","25 Oct 2025","https://www.atgtickets.com/shows/six/edinburgh-playhouse/"
"Six Characters in Search of an Author","Wales Millennium Centre - Cardiff","28 Oct 2025","8 Nov 2025","https://www.wmc.org.uk/en/whats-on/2025/six/performances"
"Six Characters in Search of an Author","Cliffs Pavilion, Southend","11 Nov 2025","15 Nov 2025","https://trafalgartickets.com/cliffs-pavilion-southend/en-GB/event/musical/six-the-musical-tickets"
"Six Characters in Search of an Author","Festival Theatre - Malvern","18 Nov 2025","22 Nov 2025","https://www.malvern-tickets.co.uk/search_results.aspx?event_id=24918&_ga=2.19189884.577597097.1726652328-183579906.1722501219"
"Six Characters in Search of an Author","Wycombe Swan Theatre","25 Nov 2025","29 Nov 2025","https://trafalgartickets.com/wycombe-swan-theatre/en-GB/event/musical/six-the-musical-tickets"
"Six Characters in Search of an Author","Mayflower Theatre - Southampton","2 Dec 2025","6 Dec 2025","https://www.mayflower.org.uk/whats-on/six-2025/"
"Six Characters in Search of an Author","New Theatre Oxford","9 Dec 2025","13 Dec 2025","https://www.atgtickets.com/shows/six/new-theatre-oxford/"
"Six Characters in Search of an Author","Winter Gardens Blackpool","22 Dec 2025","4 Jan 2026","https://www.wintergardensblackpool.co.uk/events/six/"
"Six","Aylesbury Waterside Theatre","20 May 2025","24 May 2025","https://www.atgtickets.com/shows/six/aylesbury-waterside-theatre/?gad_source=1&gclid=Cj0KCQjw9Km3BhDjARIsAGUb4nzjiLUOKdW4mlB_ifW9KLiVDEH2kXOvprZJ-3szzFU56hkyrGW4USQaAnyhEALw_wcB&gclsrc=aw.ds"
"Six","Curve Theatre - Leicester","27 May 2025","31 May 2025","https://www.curveonline.co.uk/whats-on/shows/six-3/"
"Six","Hull New Theatre","3 Jun 2025","7 Jun 2025","https://www.hulltheatres.co.uk/theatre-events/SIX%20The%20Musical"
"Six","Grand Opera House, Belfast","10 Jun 2025","14 Jun 2025","https://www.goh.co.uk/whats-on/six-the-musical"
"Six","Bord Gáis Energy Theatre","17 Jun 2025","28 June 2025","https://www.bordgaisenergytheatre.ie/show/six/"
"Six","Rhyl Pavilion Theatre","1 July 2025","5 July 2025","https://rhylpavilion.co.uk/events_list/six/"
"Six","Leeds Grand Theatre","8 Jul 2025","12 Jul 2025","https://leedsheritagetheatres.com/whats-on/six-2025/"
"Six","Belgrade Theatre, Coventry","15 Jul 2025","19 Jul 2025","https://www.belgrade.co.uk/events/six-7/"
"Six","Skegness - Embassy Theatre","22 Jul 2025","26 Jul 2025","https://embassytheatre.co.uk/shows/six/"
"Six","Salford - The Lowry","29 Jul 2025","3 Aug 2025","https://thelowry.com/whats-on/299//six"
"Six","His Majesty's Theatre Aberdeen","5 Aug 2025","9 Aug 2025","https://www.aberdeenperformingarts.com/whats-on/six-2/"
"Six","Newcastle Theatre Royal","12 Aug 2025","23 Aug 2025","https://www.theatreroyal.co.uk/whats-on/six-6/"
"Six","Yvonne Arnaud Theatre - Guildford","26 Aug 2025","6 Sep 2025","https://www.yvonne-arnaud.co.uk/whats-on/six"
"Six","Theatre Royal Brighton","9 Sep 2025","20 Sep 2025","https://www.atgtickets.com/shows/six/theatre-royal-brighton/"
"Six","Theatre Clwyd - Mold","23 Sep 2025","27 Sep 2025","http://theatrclwyd.com/event/six-the-musical"
"Six","Hall for Cornwall - Truro","30 Sep 2025","4 Oct 2025","https://www.hallforcornwall.co.uk/whats-on/six-the-musical/"
"Six","Princess Theatre - Torquay","7 Oct 2025","11 Oct 2025","https://www.atgtickets.com/shows/six/princess-theatre-torquay/"
"Six","Grand Opera House York","14 Oct 2025","18 Oct 2025","https://www.atgtickets.com/shows/six/grand-opera-house-york/"
"Six","Edinburgh Playhouse","21 Oct 2025","25 Oct 2025","https://www.atgtickets.com/shows/six/edinburgh-playhouse/"
"Six","Wales Millennium Centre - Cardiff","28 Oct 2025","8 Nov 2025","https://www.wmc.org.uk/en/whats-on/2025/six/performances"
"Six","Cliffs Pavilion, Southend","11 Nov 2025","15 Nov 2025","https://trafalgartickets.com/cliffs-pavilion-southend/en-GB/event/musical/six-the-musical-tickets"
"Six","Festival Theatre - Malvern","18 Nov 2025","22 Nov 2025","https://www.malvern-tickets.co.uk/search_results.aspx?event_id=24918&_ga=2.19189884.577597097.1726652328-183579906.1722501219"
"Six","Wycombe Swan Theatre","25 Nov 2025","29 Nov 2025","https://trafalgartickets.com/wycombe-swan-theatre/en-GB/event/musical/six-the-musical-tickets"
"Six","Mayflower Theatre - Southampton","2 Dec 2025","6 Dec 2025","https://www.mayflower.org.uk/whats-on/six-2025/"
"Six","New Theatre Oxford","9 Dec 2025","13 Dec 2025","https://www.atgtickets.com/shows/six/new-theatre-oxford/"
"Six","Winter Gardens Blackpool","22 Dec 2025","4 Jan 2026","https://www.wintergardensblackpool.co.uk/events/six/"
"Half a Sixpence","Aylesbury Waterside Theatre","20 May 2025","24 May 2025","https://www.atgtickets.com/shows/six/aylesbury-waterside-theatre/?gad_source=1&gclid=Cj0KCQjw9Km3BhDjARIsAGUb4nzjiLUOKdW4mlB_ifW9KLiVDEH2kXOvprZJ-3szzFU56hkyrGW4USQaAnyhEALw_wcB&gclsrc=aw.ds"
"Half a Sixpence","Curve Theatre - Leicester","27 May 2025","31 May 2025","https://www.curveonline.co.uk/whats-on/shows/six-3/"
"Half a Sixpence","Hull New Theatre","3 Jun 2025","7 Jun 2025","https://www.hulltheatres.co.uk/theatre-events/SIX%20The%20Musical"
"Half a Sixpence","Grand Opera House, Belfast","10 Jun 2025","14 Jun 2025","https://www.goh.co.uk/whats-on/six-the-musical"
"Half a Sixpence","Bord Gáis Energy Theatre","17 Jun 2025","28 June 2025","https://www.bordgaisenergytheatre.ie/show/six/"
"Half a Sixpence","Rhyl Pavilion Theatre","1 July 2025","5 July 2025","https://rhylpavilion.co.uk/events_list/six/"
"Half a Sixpence","Leeds Grand Theatre","8 Jul 2025","12 Jul 2025","https://leedsheritagetheatres.com/whats-on/six-2025/"
"Half a Sixpence","Belgrade Theatre, Coventry","15 Jul 2025","19 Jul 2025","https://www.belgrade.co.uk/events/six-7/"
"Half a Sixpence","Skegness - Embassy Theatre","22 Jul 2025","26 Jul 2025","https://embassytheatre.co.uk/shows/six/"
"Half a Sixpence","Salford - The Lowry","29 Jul 2025","3 Aug 2025","https://thelowry.com/whats-on/299//six"
"Half a Sixpence","His Majesty's Theatre Aberdeen","5 Aug 2025","9 Aug 2025","https://www.aberdeenperformingarts.com/whats-on/six-2/"
"Half a Sixpence","Newcastle Theatre Royal","12 Aug 2025","23 Aug 2025","https://www.theatreroyal.co.uk/whats-on/six-6/"
"Half a Sixpence","Yvonne Arnaud Theatre - Guildford","26 Aug 2025","6 Sep 2025","https://www.yvonne-arnaud.co.uk/whats-on/six"
"Half a Sixpence","Theatre Royal Brighton","9 Sep 2025","20 Sep 2025","https://www.atgtickets.com/shows/six/theatre-royal-brighton/"
"Half a Sixpence","Theatre Clwyd - Mold","23 Sep 2025","27 Sep 2025","http://theatrclwyd.com/event/six-the-musical"
"Half a Sixpence","Hall for Cornwall - Truro","30 Sep 2025","4 Oct 2025","https://www.hallforcornwall.co.uk/whats-on/six-the-musical/"
"Half a Sixpence","Princess Theatre - Torquay","7 Oct 2025","11 Oct 2025","https://www.atgtickets.com/shows/six/princess-theatre-torquay/"
"Half a Sixpence","Grand Opera House York","14 Oct 2025","18 Oct 2025","https://www.atgtickets.com/shows/six/grand-opera-house-york/"
"Half a Sixpence","Edinburgh Playhouse","21 Oct 2025","25 Oct 2025","https://www.atgtickets.com/shows/six/edinburgh-playhouse/"
"Half a Sixpence","Wales Millennium Centre - Cardiff","28 Oct 2025","8 Nov 2025","https://www.wmc.org.uk/en/whats-on/2025/six/performances"
"Half a Sixpence","Cliffs Pavilion, Southend","11 Nov 2025","15 Nov 2025","https://trafalgartickets.com/cliffs-pavilion-southend/en-GB/event/musical/six-the-musical-tickets"
"Half a Sixpence","Festival Theatre - Malvern","18 Nov 2025","22 Nov 2025","https://www.malvern-tickets.co.uk/search_results.aspx?event_id=24918&_ga=2.19189884.577597097.1726652328-183579906.1722501219"
"Half a Sixpence","Wycombe Swan Theatre","25 Nov 2025","29 Nov 2025","https://trafalgartickets.com/wycombe-swan-theatre/en-GB/event/musical/six-the-musical-tickets"
"Half a Sixpence","Mayflower Theatre - Southampton","2 Dec 2025","6 Dec 2025","https://www.mayflower.org.uk/whats-on/six-2025/"
"Half a Sixpence","New Theatre Oxford","9 Dec 2025","13 Dec 2025","https://www.atgtickets.com/shows/six/new-theatre-oxford/"
"Half a Sixpence","Winter Gardens Blackpool","22 Dec 2025","4 Jan 2026","https://www.wintergardensblackpool.co.uk/events/six/"
